name,id,location,type,typecode,pname,cityname,adname,address,pcode,citycode,adcode
拐耙沟,B0139028NM,"116.213606,40.810179",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
青羊沟村,B01390PMIK,"116.227443,40.816463",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
小西沟,B0HK1OCPJL,"116.214891,40.789274",地名地址信息;普通地名;村组级地名,190109,河北省,张家口市,赤城县,赤城县,130000,0313,130732
苇子沟,B013902JLN,"116.174567,40.807957",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
东石门沟,B0139028NG,"116.227578,40.798580",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
张家湾,B000A8001C,"116.249846,40.712361",地名地址信息;普通地名;村庄级地名,190108,北京市,北京市,延庆区,延庆区,110000,010,110119
十八亩地,B0139028NY,"116.192535,40.807960",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
瓦窑沟,B013902JLM,"116.190389,40.773469",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
龙庆峡风景区,B000A02891,"116.003394,40.551886",风景名胜;风景名胜;国家级景点,110202,北京市,北京市,延庆区,旧县镇古城村北,110000,010,110119
小东沟,B013902JLP,"116.206511,40.775535",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
百里山水画廊(暂停营业),B000A8WDMD,"116.31974,40.70053",风景名胜;风景名胜;国家级景点,110202,北京市,北京市,延庆区,千家店镇,110000,010,110119
栅子沟,B0139028OI,"116.181934,40.785195",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
大道,B013902JLI,"116.247785,40.824784",地名地址信息;普通地名;村庄级地名,190108,河北省,张家口市,赤城县,赤城县,130000,0313,130732
水泉沟,B013902JWL,"116.259416,40.795515",地名地址信息;自然地名;山,190203,河北省,张家口市,赤城县,赤城县,130000,0313,130732
红旗甸河,B0FFFY3P8F,"116.212941,40.746926",地名地址信息;自然地名;河流,190204,河北省,张家口市,赤城县,赤城县,130000,0313,130732
