115.426264,40.537231|115.948427,41.059394
115.948427,40.537231|116.470589,41.059394
115.687345,40.276150|115.948427,40.537231
115.426264,40.015069|115.687345,40.276150
115.687345,40.015069|115.948427,40.276150
115.948427,40.406691|116.078967,40.537231
116.078967,40.406691|116.209508,40.537231
115.948427,40.276150|116.078967,40.406691
116.078967,40.276150|116.209508,40.406691
116.209508,40.276150|116.470589,40.537231
115.948427,40.145610|116.078967,40.276150
116.078967,40.145610|116.209508,40.276150
115.948427,40.015069|116.078967,40.145610
116.078967,40.015069|116.209508,40.145610
116.209508,40.243515|116.242143,40.276150
116.242143,40.243515|116.274778,40.276150
116.209508,40.210880|116.242143,40.243515
116.242143,40.210880|116.274778,40.243515
116.274778,40.210880|116.340048,40.276150
116.209508,40.145610|116.274778,40.210880
116.274778,40.145610|116.340048,40.210880
116.340048,40.145610|116.470589,40.276150
116.209508,40.080339|116.274778,40.145610
116.274778,40.080339|116.340048,40.145610
116.209508,40.015069|116.274778,40.080339
116.274778,40.047704|116.307413,40.080339
116.307413,40.047704|116.340048,40.080339
116.274778,40.015069|116.307413,40.047704
116.307413,40.015069|116.340048,40.047704
116.340048,40.080339|116.405319,40.145610
116.405319,40.080339|116.470589,40.145610
116.340048,40.047704|116.372684,40.080339
116.372684,40.047704|116.405319,40.080339
116.340048,40.015069|116.372684,40.047704
116.372684,40.015069|116.405319,40.047704
116.405319,40.047704|116.437954,40.080339
116.437954,40.047704|116.470589,40.080339
116.405319,40.015069|116.437954,40.047704
116.437954,40.015069|116.470589,40.047704
116.470589,40.537231|116.992751,41.059394
116.992751,40.537231|117.514914,41.059394
116.470589,40.406691|116.601130,40.537231
116.601130,40.406691|116.731670,40.537231
116.470589,40.276150|116.601130,40.406691
116.601130,40.341421|116.666400,40.406691
116.666400,40.341421|116.731670,40.406691
116.601130,40.308785|116.633765,40.341421
116.633765,40.308785|116.666400,40.341421
116.601130,40.276150|116.633765,40.308785
116.633765,40.276150|116.666400,40.308785
116.666400,40.276150|116.731670,40.341421
116.731670,40.406691|116.862211,40.537231
116.862211,40.406691|116.992751,40.537231
116.731670,40.341421|116.796941,40.406691
116.796941,40.374056|116.829576,40.406691
116.829576,40.374056|116.862211,40.406691
116.796941,40.341421|116.829576,40.374056
116.829576,40.341421|116.862211,40.374056
116.731670,40.276150|116.796941,40.341421
116.796941,40.276150|116.862211,40.341421
116.862211,40.276150|116.992751,40.406691
116.470589,40.145610|116.601130,40.276150
116.601130,40.145610|116.731670,40.276150
116.470589,40.080339|116.535859,40.145610
116.535859,40.080339|116.601130,40.145610
116.470589,40.015069|116.535859,40.080339
116.535859,40.015069|116.601130,40.080339
116.601130,40.112974|116.633765,40.145610
116.633765,40.112974|116.666400,40.145610
116.601130,40.080339|116.633765,40.112974
116.633765,40.080339|116.666400,40.112974
116.666400,40.080339|116.731670,40.145610
116.601130,40.015069|116.666400,40.080339
116.666400,40.015069|116.731670,40.080339
116.731670,40.015069|116.992752,40.276150
116.992751,40.276150|117.253833,40.537231
117.253833,40.276150|117.514914,40.537231
116.992751,40.145610|117.123292,40.276150
117.123292,40.145610|117.253833,40.276150
116.992751,40.015069|117.123292,40.145610
117.123292,40.015069|117.253833,40.145610
117.253833,40.145610|117.384373,40.276150
117.384373,40.145610|117.514914,40.276150
117.253833,40.015069|117.384373,40.145610
115.426264,39.753988|115.687345,40.015069
115.687345,39.753988|115.948427,40.015069
115.426264,39.492906|115.687345,39.753988
115.687345,39.492906|115.948427,39.753988
115.948427,39.884528|116.078967,40.015069
116.078967,39.949799|116.144237,40.015069
116.144237,39.949799|116.209508,40.015069
116.078967,39.917164|116.111602,39.949799
116.111602,39.917164|116.144237,39.949799
116.078967,39.884528|116.111602,39.917164
116.111602,39.884528|116.144237,39.917164
116.144237,39.917164|116.176873,39.949799
116.176873,39.917164|116.209508,39.949799
116.144237,39.884528|116.176873,39.917164
116.176873,39.884528|116.209508,39.917164
115.948427,39.753988|116.078967,39.884528
116.078967,39.819258|116.144237,39.884528
116.144237,39.819258|116.209508,39.884528
116.078967,39.753988|116.144237,39.819258
116.144237,39.753988|116.209508,39.819258
116.209508,39.949799|116.274778,40.015069
116.274778,39.982434|116.307413,40.015069
116.307413,39.998751|116.323731,40.015069
116.323731,39.998751|116.340048,40.015069
116.307413,39.982434|116.323731,39.998751
116.323731,39.982434|116.340048,39.998751
116.274778,39.966116|116.291096,39.982434
116.291096,39.966116|116.307413,39.982434
116.274778,39.949799|116.291096,39.966116
116.291096,39.949799|116.307413,39.966116
116.307413,39.966116|116.323731,39.982434
116.323731,39.966116|116.340048,39.982434
116.307413,39.949799|116.323731,39.966116
116.323731,39.949799|116.340048,39.966116
116.209508,39.917164|116.242143,39.949799
116.242143,39.917164|116.274778,39.949799
116.209508,39.884528|116.242143,39.917164
116.242143,39.900846|116.258460,39.917164
116.258460,39.900846|116.274778,39.917164
116.242143,39.884528|116.258460,39.900846
116.258460,39.884528|116.274778,39.900846
116.274778,39.933481|116.291096,39.949799
116.291096,39.933481|116.307413,39.949799
116.274778,39.917164|116.291096,39.933481
116.291096,39.917164|116.307413,39.933481
116.307413,39.933481|116.323731,39.949799
116.323731,39.933481|116.340048,39.949799
116.307413,39.917164|116.323731,39.933481
116.323731,39.917164|116.340048,39.933481
116.274778,39.900846|116.291096,39.917164
116.291096,39.900846|116.307413,39.917164
116.274778,39.884528|116.291096,39.900846
116.291096,39.884528|116.307413,39.900846
116.307413,39.900846|116.323731,39.917164
116.323731,39.900846|116.340048,39.917164
116.307413,39.884528|116.323731,39.900846
116.323731,39.884528|116.340048,39.900846
116.340048,39.998751|116.356366,40.015069
116.356366,39.998751|116.372684,40.015069
116.340048,39.982434|116.356366,39.998751
116.356366,39.982434|116.372684,39.998751
116.372684,39.982434|116.405319,40.015069
116.340048,39.966116|116.356366,39.982434
116.356366,39.966116|116.372684,39.982434
116.340048,39.949799|116.356366,39.966116
116.356366,39.949799|116.372684,39.966116
116.372684,39.966116|116.389001,39.982434
116.389001,39.966116|116.405319,39.982434
116.372684,39.949799|116.389001,39.966116
116.389001,39.949799|116.405319,39.966116
116.405319,39.998751|116.421636,40.015069
116.421636,39.998751|116.437954,40.015069
116.405319,39.982434|116.421636,39.998751
116.421636,39.982434|116.437954,39.998751
116.437954,39.982434|116.470589,40.015069
116.405319,39.966116|116.421636,39.982434
116.421636,39.966116|116.437954,39.982434
116.405319,39.949799|116.421636,39.966116
116.421636,39.949799|116.437954,39.966116
116.437954,39.966116|116.454271,39.982434
116.454271,39.966116|116.470589,39.982434
116.437954,39.949799|116.454271,39.966116
116.454271,39.949799|116.470589,39.966116
116.340048,39.933481|116.356366,39.949799
116.356366,39.933481|116.372684,39.949799
116.340048,39.917164|116.356366,39.933481
116.356366,39.917164|116.372684,39.933481
116.372684,39.917164|116.405319,39.949799
116.340048,39.900846|116.356366,39.917164
116.356366,39.900846|116.372684,39.917164
116.340048,39.884528|116.356366,39.900846
116.356366,39.884528|116.372684,39.900846
116.372684,39.900846|116.389001,39.917164
116.389001,39.900846|116.405319,39.917164
116.372684,39.884528|116.389001,39.900846
116.389001,39.884528|116.405319,39.900846
116.405319,39.933481|116.421636,39.949799
116.421636,39.933481|116.437954,39.949799
116.405319,39.917164|116.421636,39.933481
116.421636,39.917164|116.437954,39.933481
116.437954,39.933481|116.454271,39.949799
116.454271,39.933481|116.470589,39.949799
116.437954,39.917164|116.454271,39.933481
116.454271,39.917164|116.470589,39.933481
116.405319,39.900846|116.421636,39.917164
116.421636,39.900846|116.437954,39.917164
116.405319,39.884528|116.421636,39.900846
116.421636,39.884528|116.437954,39.900846
116.437954,39.900846|116.454271,39.917164
116.454271,39.900846|116.470589,39.917164
116.437954,39.884528|116.454271,39.900846
116.454271,39.884528|116.470589,39.900846
116.209508,39.851893|116.242143,39.884528
116.242143,39.851893|116.274778,39.884528
116.209508,39.819258|116.242143,39.851893
116.242143,39.819258|116.274778,39.851893
116.274778,39.868211|116.291096,39.884528
116.291096,39.868211|116.307413,39.884528
116.274778,39.851893|116.291096,39.868211
116.291096,39.851893|116.307413,39.868211
116.307413,39.868211|116.323731,39.884528
116.323731,39.868211|116.340048,39.884528
116.307413,39.851893|116.323731,39.868211
116.323731,39.851893|116.340048,39.868211
116.274778,39.835576|116.291096,39.851893
116.291096,39.835576|116.307413,39.851893
116.274778,39.819258|116.291096,39.835576
116.291096,39.819258|116.307413,39.835576
116.307413,39.835576|116.323731,39.851893
116.323731,39.835576|116.340048,39.851893
116.307413,39.819258|116.323731,39.835576
116.323731,39.819258|116.340048,39.835576
116.209508,39.753988|116.274778,39.819258
116.274778,39.786623|116.307413,39.819258
116.307413,39.786623|116.340048,39.819258
116.274778,39.753988|116.307413,39.786623
116.307413,39.753988|116.340048,39.786623
116.340048,39.868211|116.356366,39.884528
116.356366,39.868211|116.372684,39.884528
116.340048,39.851893|116.356366,39.868211
116.356366,39.851893|116.372684,39.868211
116.372684,39.868211|116.389001,39.884528
116.389001,39.868211|116.405319,39.884528
116.372684,39.851893|116.389001,39.868211
116.389001,39.851893|116.405319,39.868211
116.340048,39.819258|116.372684,39.851893
116.372684,39.819258|116.405319,39.851893
116.405319,39.868211|116.421636,39.884528
116.421636,39.868211|116.437954,39.884528
116.405319,39.851893|116.421636,39.868211
116.421636,39.851893|116.437954,39.868211
116.437954,39.868211|116.454271,39.884528
116.454271,39.868211|116.470589,39.884528
116.437954,39.851893|116.454271,39.868211
116.454271,39.851893|116.470589,39.868211
116.405319,39.819258|116.437954,39.851893
116.437954,39.819258|116.470589,39.851893
116.340048,39.753988|116.405319,39.819258
116.405319,39.753988|116.470589,39.819258
115.948427,39.688717|116.013697,39.753988
116.013697,39.688717|116.078967,39.753988
115.948427,39.623447|116.013697,39.688717
116.013697,39.623447|116.078967,39.688717
116.078967,39.688717|116.144237,39.753988
116.144237,39.688717|116.209508,39.753988
116.078967,39.623447|116.144237,39.688717
116.144237,39.623447|116.209508,39.688717
115.948427,39.492906|116.078967,39.623447
116.078967,39.492906|116.209508,39.623447
116.209508,39.688717|116.274778,39.753988
116.274778,39.721353|116.307413,39.753988
116.307413,39.721353|116.340048,39.753988
116.274778,39.688717|116.307413,39.721353
116.307413,39.688717|116.340048,39.721353
116.209508,39.623447|116.274778,39.688717
116.274778,39.623447|116.340048,39.688717
116.340048,39.688717|116.405319,39.753988
116.405319,39.688717|116.470589,39.753988
116.340048,39.623447|116.405319,39.688717
116.405319,39.623447|116.470589,39.688717
116.209508,39.492906|116.340048,39.623447
116.340048,39.492906|116.470589,39.623447
116.209508,39.362366|116.340048,39.492906
116.340048,39.362366|116.470589,39.492906
116.470589,39.982434|116.503224,40.015069
116.503224,39.982434|116.535859,40.015069
116.470589,39.966116|116.486907,39.982434
116.486907,39.966116|116.503224,39.982434
116.470589,39.949799|116.486907,39.966116
116.486907,39.949799|116.503224,39.966116
116.503224,39.949799|116.535859,39.982434
116.535859,39.949799|116.601130,40.015069
116.470589,39.933481|116.486907,39.949799
